iter	Passed	Remaining
861	24021	3845
862	24125	3829
863	24161	3803
864	24191	3775
865	24219	3747
866	24241	3718
867	24269	3690
868	24291	3661
869	24318	3633
870	24339	3604
871	24361	3576
872	24393	3548
873	24420	3520
874	24446	3492
875	24471	3463
876	24494	3435
877	24534	3409
878	24563	3381
879	24645	3360
880	24672	3332
881	24698	3304
882	24721	3275
883	24746	3247
884	24773	3219
885	24794	3190
886	24828	3163
887	24849	3134
888	24869	3105
889	24894	3076
890	24918	3048
891	24942	3019
892	24965	2991
893	24995	2963
894	25017	2934
895	25040	2906
896	25059	2877
897	25082	2849
898	25139	2824
899	25172	2796
900	25194	2768
901	25216	2739
902	25247	2712
903	25280	2684
904	25305	2656
905	25332	2628
906	25353	2599
907	25377	2571
908	25403	2543
909	25428	2514
910	25453	2486
911	25477	2458
912	25501	2430
913	25527	2401
914	25585	2376
915	25628	2350
916	25675	2323
917	25703	2295
918	25739	2268
919	25773	2241
920	25797	2212
921	25819	2184
922	25841	2155
923	25861	2127
924	25887	2099
925	25910	2070
926	25932	2042
927	25960	2014
928	25983	1985
929	26009	1957
930	26035	1929
931	26058	1901
932	26081	1872
933	26109	1844
934	26171	1819
935	26196	1791
936	26224	1763
937	26251	1735
938	26280	1707
939	26312	1679
940	26338	1651
941	26361	1623
942	26382	1594
943	26413	1566
944	26438	1538
945	26464	1510
946	26493	1482
947	26519	1454
948	26542	1426
949	26583	1399
950	26628	1372
951	26654	1343
952	26670	1315
953	26690	1286
954	26711	1258
955	26733	1230
956	26755	1202
957	26788	1174
958	26809	1146
959	26840	1118
960	26866	1090
961	26892	1062
962	26913	1034
963	26936	1005
964	26962	977
965	26981	949
966	27005	921
967	27030	893
968	27053	865
969	27074	837
970	27103	809
971	27135	781
972	27158	753
973	27208	726
974	27229	698
975	27261	670
976	27292	642
977	27317	614
978	27342	586
979	27369	558
980	27392	530
981	27414	502
982	27438	474
983	27464	446
984	27486	418
985	27512	390
986	27536	362
987	27564	334
988	27590	306
989	27623	279
990	27657	251
991	27689	223
992	27717	195
993	27739	167
994	27760	139
995	27777	111
996	27800	83
997	27817	55
998	27835	27
999	27859	0
